roadsectionid,coordx,coordy,cctvresolution,filecreatetime,cctvtype,cctvformat,cctvname,cctvurl
,126.2619601,36.75105767,,,1,HLS,[국도38] 태안 두야교회교차로,http://cctvsec.ktict.co.kr/4027/GS9cuqRaCq9cmhurLqU/q/tmpzaPlF57N7gi/wOVZjgQFruIygDd/loR38/6Is3xflD7BMnrqP5zgff9CDTdbhef6C+TuGqujenxKu1s08k=
,126.61283,36.36643,,,1,HLS,[국도 21호선] 보령 봉황터널시점,http://cctvsec.ktict.co.kr/4107/YVJDetuWhH2gGuhzsUBWwJke83GSfQnSZrSa+3kEJS1xmMFFwFW5ohwHwyezBDSndwASNPtMDUOs8K6+gpmX3PJ8ifYkLnL6LsjgYAasluA=
,126.59544,36.37853,,,1,HLS,[국도 21호선] 보령 봉황터널종점,http://cctvsec.ktict.co.kr/4108/uEw2V7VUiudn1PsEoqH2s6DPNMx0CC1Hcz8nG8xHkDCJtZLWOiA4CZsmLDQeRbsGLfpSlyDB82PQzXrqi1j+bPYWB+IUsEXC/OmBpbYaX+8=
,126.617068,36.506767,,,1,HLS,[국도 21호선] 홍성 단아래사거리,http://cctvsec.ktict.co.kr/4109/XIgVIAd5Mc+EOXn7+RNsFgyiUJSAA609pgX3G4KT80Um0XiI+KRzZVVPLLnr3eWHhZykO47M/c0unIOhXj+s2tu3C+7qIeSHA2bKp5WdBDQ=
,126.46391,36.77537,,,1,HLS,[국도 29호선] 서산 석림사거리,http://cctvsec.ktict.co.kr/4120/bUjLufPLscQPC/m5ncdHsZYrmBQ6Jo82qltJi1bP1hmmFxTm9wS9EwgNZ+2B7+PIGsJ17/J4NItEbdoNNohPB78AEbO4CUxQh+BCSJDUOuk=
,126.54518,36.70661,,,1,HLS,[국도 29호선] 서산 해미교차로,http://cctvsec.ktict.co.kr/4123/mRjzuG2QEXNol3zpf+raX4p56Gt1VB18r9zbMgfqRup/B1/VtjthJ7t7P9MhCCikJfA39riPEHWsH0IOLCSpxe951yOR7Q5oKU51dtO61Og=
,126.668438,36.902131,,,1,HLS,[국도 32호선] 당진 감골교차로,http://cctvsec.ktict.co.kr/4131/XC9kX72oYhNJsOqOiUb9WIYDsBPaEwrOpF2k1fDpdSluZ4ZX0f7QgNxpvkfJ+sGKVeN6dxms52TrnSaQKVIEfaMt/bKJUX2rgo12lB9LF78=
,126.56319,36.81245,,,1,HLS,[국도 32호선] 서산 운산교차로,http://cctvsec.ktict.co.kr/4136/96D1cbn0OLdYhjMM/jsSYNde5hOP8cpZog77Slb99mit7NwNTNQTHNhIz45S5RUnLFBo1xmtEj7JLR7purfLFv3JtR6G971250+QJjQM0xY=
,126.88307,36.87125,,,1,HLS,[국도 34호선] 아산 인주공단교차로,http://cctvsec.ktict.co.kr/4137/1LNLW9ct7cTQQ0vLxyJZaqf2kZpWx+UL6Hf2S/VpG7tNar44Aks/cJASVXsE+CaZL+ij/VV7Aaz0T1JFM0f/IoI3nU7hOTmACIVzSqV8ckE=
,126.86466,36.87883,,,1,HLS,[국도 34호선] 아산 검문소,http://cctvsec.ktict.co.kr/4138/zn057mNCZlH8LoAhdHJb9PM6zRdGgz1Dc5BvFZDmbXD3cFKK1FjazGFLRb0G0uERMXFR4up5N0V1TbAlNRjy8N+advI+yMDqqN88bk+HFFE=
,126.81398,36.88138,,,1,HLS,[국도 34호선] 당진 운정교차로,http://cctvsec.ktict.co.kr/4139/7bsjaSfLxfMYEkxVUK/hkkd50hTpFb0U8VUCbzSH+1EroD0U1qLHIKw+HXeEmnRJNi1k0UJTgwTyqFWMDoRUylA9gfEsMq/dsIEuMbiCO9U=
,126.938666,36.990555,,,1,HLS,[국도 38호선] 평택 안중사거리,http://cctvsec.ktict.co.kr/4156/+JHJwp8qDAIj8OoTz17+PVNutE++oTmAUlzCjLO3S3Rw5g/T+u/9CFXSByooJdQP2ruC2iFiB5cjmRNRfoS7AUcSO3jaShHgwZRTQupxWzg=
